Operation Name,Operation Type,Address,City,Postal Code,Total Floor Area,Unit1,Average Hours Per Week,Annual Flow,Electricity,Unit2,Natural Gas,Unit3,Fuel Oil 1 & 2,Unit4,Fuel Oil 4 & 6,Unit5,Propane,Unit6,Coal,Unit7,Wood,Unit8,District Heat,Unit9,Renewable1,Emission Factor1,District Cool,Unit10,Renewable2,Emission Factor2,GHG Emissions (Kg),Energy Intensity (ekWh/sqft),Energy Intensity (ekWh/Mega Litres),Comments
FIRE HALL # 13,Fire stations and associated offices and facilities,790 FANSHAWE PK RD E,LONDON,N5X 1L5,"4,400.00",Square feet,168,,"32,637.56600",kWh,"6,168.69898",Cubic Meter,,,,,,,,,,,,,,,,,,,"12,968.57049",22.31753,0.00000,
FIRE HALL # 14,Fire stations and associated offices and facilities,2225 HYDE PARK RD,LONDON,N6H 5K2,"8,429.00",Square feet,168,,"66,567.84736",kWh,"9,426.84212",Cubic Meter,,,,,,,,,,,,,,,,,,,"20,486.08838",19.78339,0.00000,
FORKS OF THE THAMES MUSEUM & SPL P,Other,1 DUNDAS ST,LONDON,N6A 5L7,"1,760.00",Square feet,168,,"45,486.10604",kWh,"2,659.70181",Cubic Meter,,,,,,,,,,,,,,,,,,,"6,848.44864",41.90501,0.00000,
GIBBONS PARK-POOL-SPLASH PAD,Other,2A GROSVENOR ST,LONDON,N6A 1Y4,"3,746.00",Square feet,168,,"63,972.01074",kWh,"19,295.91000",Cubic Meter,,,,,,,,,,,,,,,,,,,"39,040.95256",71.82185,0.00000,
GLANWORTH PARK-FIELD HOUSE,Other,6536 BRADISH RD,LONDON,N6N 1N6,"2,165.00",Square feet,168,,"2,858.61807",kWh,,,,,,,,,,,,,,,,,,,,,114.37617,1.32038,0.00000,
GLEN CAIRN ARENA & POOL,Indoor ice rinks,370 CHIPPENDALE CRES,LONDON,N5Z 3G2,"29,370.00",Square feet,126,,"448,029.58089",kWh,"48,740.97860",Cubic Meter,,,,,,,,,,,,,,,,,,,"110,077.12170",32.89199,0.00000,
GORE RD PUMP STN,Facilities related to the pumping of sewage,3045 GORE RD,LONDON,N5V 4T2,0.00,Square feet,168,4.15000,"1,726.94724",kWh,,,,,,,,,,,,,,,,,,,,,69.09689,0.00000,416.13187,
GREENWAY NG TRANSP,Other,109 GREENSIDE AVE,LONDON,N6J 2X5,"35,952.00",Square feet,168,,,,"164,749.65290",Cubic Meter,,,,,,,,,,,,,,,,,,,"311,480.14202",48.70167,0.00000,
GREENWAY PARK #2,Other,5 GREENSIDE AVE,LONDON,N6J 2X5,"1,001.00",Square feet,168,,284.17273,kWh,,,,,,,,,,,,,,,,,,,,,11.37003,0.28389,0.00000,
GREENWAY PCC,Facilities related to the treatment of sewage,109 GREENSIDE AVE,LONDON,N6J 2X5,0.00,Square feet,168,44785.50000,"23,324,320.58807",kWh,"326,538.13788",Cubic Meter,,,,,,,,,,,,,,,,,,,"1,550,591.21105",0.00000,598.28952,
