Operation Name,Operation Type,Address,City,Postal Code,Total Floor Area,Unit1,Average Hours Per Week,Annual Flow,Electricity,Unit2,Natural Gas,Unit3,Fuel Oil 1 & 2,Unit4,Fuel Oil 4 & 6,Unit5,Propane,Unit6,Coal,Unit7,Wood,Unit8,District Heat,Unit9,Renewable1,Emission Factor1,District Cool,Unit10,Renewable2,Emission Factor2,GHG Emissions (Kg),Energy Intensity (ekWh/sqft),Energy Intensity (ekWh/Mega Litres),Comments,lat,lng
FARQUHARSON ARENA,Indoor ice rinks,411 TECUMSEH AVE E,LONDON,N6C 1T4,0.0,Square feet,168,0.0,0.0,kWh,0.0,Cubic Meter,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,24.84744,0.0,,42.96961294,-81.241548645
FIDO PARK FIELD HOUSE,Other,733 WINDERMERE RD,LONDON,N5X 3P1,647.0,Square feet,168,0.0,0.0,kWh,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,77.09718000000002,2.93876,0.0,,43.023127,-81.24921450000002
FIRE HALL # 01,Fire stations and associated offices and facilities,400 HORTON ST E,LONDON,N6B 1L7,0.0,Square feet,168,0.0,0.0,kWh,0.0,Cubic Meter,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,24.34562,0.0,,42.98178720000001,-81.23753470000003
FIRE HALL # 02,Fire stations and associated offices and facilities,1103 FLORENCE ST,LONDON,N5W 2M7,0.0,Square feet,168,0.0,0.0,kWh,0.0,Cubic Meter,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,39.17559,0.0,,42.9906552,-81.212471
FIRE HALL # 03,Fire stations and associated offices and facilities,550 COMMISSIONERS RD W,LONDON,N6K 1B7,0.0,Square feet,168,0.0,0.0,kWh,0.0,Cubic Meter,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,34.183409999999995,0.0,,42.9538022285714,-81.29185048571429
FIRE HALL # 04,Fire stations and associated offices and facilities,807 COLBORNE ST,LONDON,N6A 3Z8,0.0,Square feet,168,0.0,0.0,kWh,0.0,Cubic Meter,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,34.33375,0.0,,42.999574,-81.24660240000001
FIRE HALL # 05,Fire stations and associated offices and facilities,751 DEVERON CRES,LONDON,N5Z 5E6,0.0,Square feet,168,0.0,0.0,kWh,0.0,Cubic Meter,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,25.87725,0.0,,42.9630559,-81.19554000000002
FIRE HALL # 06,Fire stations and associated offices and facilities,590 OXFORD ST W,LONDON,N6H 1T9,0.0,Square feet,168,0.0,0.0,kWh,0.0,Cubic Meter,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,28.43433,0.0,,42.98349879999999,-81.2933117666667
FIRE HALL # 07,Fire stations and associated offices and facilities,1295 WEBSTER ST,LONDON,N5V 3P8,0.0,Square feet,168,0.0,0.0,kWh,0.0,Cubic Meter,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,34.33505,0.0,,43.023386,-81.212058
FIRE HALL # 08,Fire stations and associated offices and facilities,1565 WESTERN RD,LONDON,N6G 1H5,0.0,Square feet,168,0.0,0.0,kWh,0.0,Cubic Meter,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,31.85475,0.0,,43.020373,-81.279351
FIRE HALL # 09,Fire stations and associated offices and facilities,746 WELLINGTON RD,LONDON,N6C 4R2,0.0,Square feet,168,0.0,0.0,kWh,0.0,Cubic Meter,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,20.82612,0.0,,42.948062781145204,-81.22765730375059
FIRE HALL # 10,Fire stations and associated offices and facilities,2125 TRAFALGAR ST,LONDON,N5V 4Z7,0.0,Square feet,168,0.0,0.0,kWh,0.0,Cubic Meter,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,40.3443,0.0,,42.9829737,-81.2031709
FIRE HALL # 11,Fire stations and associated offices and facilities,7109 WESTMINSTER DR,LONDON,N6P 1N4,0.0,Square feet,168,0.0,0.0,kWh,0.0,Cubic Meter,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,31.68539,0.0,,42.8982734,-81.2387878
FIRE HALL # 12,Fire stations and associated offices and facilities,275 BOLER RD,LONDON,N6K 2J9,0.0,Square feet,168,0.0,0.0,kWh,0.0,Cubic Meter,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,51.77128,0.0,,42.9616615030818,-81.333220045932
FIRE HALL # 12-GREY BOX SEASONAL,Fire stations and associated offices and facilities,275 BOLER RD,LONDON,N6K 2J9,100.0,Square feet,168,0.0,309.33666,kWh,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,12.54298,3.09337,0.0,,42.9616615030818,-81.333220045932
