Address,Annual Flow,Average Hours Per Week,City,Coal,Comments,District Cool,District Heat,Electricity,Emission Factor1,Emission Factor2,Energy Intensity (ekWh/Mega Litres),Energy Intensity (ekWh/sqft),Fuel Oil 1 & 2,Fuel Oil 4 & 6,GHG Emissions (Kg),Natural Gas,Notes,Operation Name,Operation Type,Postal Code,Propane,Renewable1,Renewable2,Total Floor Area,Unit1,Unit10,Unit2,Unit3,Unit4,Unit5,Unit6,Unit7,Unit8,Unit9,Wood,full_address,geocode,lat,lng,year
2835 SUNNINGDALE RD E,0.0,168,LONDON,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,21.498739999999998,0.0,0.0,0.0,0.0,,FANSHAWE GOLF COURSE-MAIN CLUBHOUSE,Other,N5X 3Y7,0.0,0.0,0.0,0.0,Square feet,,kWh,,,,,,,,0.0,,,,,2015
2835 SUNNINGDALE RD E,0.0,168,LONDON,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,14.877670000000002,0.0,0.0,0.0,0.0,,FANSHAWE GOLF COURSE-MTCE BLDG,Other,N5X 3Y7,0.0,0.0,0.0,0.0,Square feet,,kWh,,,,,,,,0.0,,,,,2015
2835 SUNNINGDALE RD E,0.0,168,LONDON,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,1.1616600000000001,0.0,0.0,82.90149,0.0,,FANSHAWE GOLF COURSE-PARKSIDE NINE,Other,N5X 3Y7,0.0,0.0,0.0,0.0,Square feet,,kWh,,,,,,,,0.0,,,,,2015
2835 SUNNINGDALE RD E,0.0,168,LONDON,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,20.76129,0.0,0.0,0.0,0.0,,FANSHAWE GOLF COURSE-SPREADER PUMP ,Other,N5X 3Y7,0.0,0.0,0.0,0.0,Square feet,,kWh,,,,,,,,0.0,,,,,2015
2835 CLARKE RD,1.1,126,LONDON,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,FANSHAWE WELLS,Facilities related to the pumping of water,N5X 3Y7,0.0,0.0,0.0,0.0,Square feet,,kWh,,,,,,,,0.0,,,43.041672,-81.1945997,2015
411 TECUMSEH AVE E,0.0,168,LONDON,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,24.84744,0.0,0.0,0.0,0.0,,FARQUHARSON ARENA,Indoor ice rinks,N6C 1T4,0.0,0.0,0.0,0.0,Square feet,,kWh,Cubic Meter,,,,,,,0.0,,,42.96961294,-81.241548645,2015
733 WINDERMERE RD,0.0,168,LONDON,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,2.93876,0.0,0.0,77.09718000000002,0.0,,FIDO PARK FIELD HOUSE,Other,N5X 3P1,0.0,0.0,0.0,647.0,Square feet,,kWh,,,,,,,,0.0,,,43.023127,-81.24921450000002,2015
400 HORTON ST E,0.0,168,LONDON,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,24.34562,0.0,0.0,0.0,0.0,,FIRE HALL # 01,Fire stations and associated offices and facilities,N6B 1L7,0.0,0.0,0.0,0.0,Square feet,,kWh,Cubic Meter,,,,,,,0.0,,,42.98178720000001,-81.23753470000003,2015
1103 FLORENCE ST,0.0,168,LONDON,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,39.17559,0.0,0.0,0.0,0.0,,FIRE HALL # 02,Fire stations and associated offices and facilities,N5W 2M7,0.0,0.0,0.0,0.0,Square feet,,kWh,Cubic Meter,,,,,,,0.0,,,42.9906552,-81.212471,2015
550 COMMISSIONERS RD W,0.0,168,LONDON,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,34.183409999999995,0.0,0.0,0.0,0.0,,FIRE HALL # 03,Fire stations and associated offices and facilities,N6K 1B7,0.0,0.0,0.0,0.0,Square feet,,kWh,Cubic Meter,,,,,,,0.0,,,42.9538022285714,-81.29185048571429,2015
807 COLBORNE ST,0.0,168,LONDON,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,34.33375,0.0,0.0,0.0,0.0,,FIRE HALL # 04,Fire stations and associated offices and facilities,N6A 3Z8,0.0,0.0,0.0,0.0,Square feet,,kWh,Cubic Meter,,,,,,,0.0,,,42.999574,-81.24660240000001,2015
751 DEVERON CRES,0.0,168,LONDON,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,25.87725,0.0,0.0,0.0,0.0,,FIRE HALL # 05,Fire stations and associated offices and facilities,N5Z 5E6,0.0,0.0,0.0,0.0,Square feet,,kWh,Cubic Meter,,,,,,,0.0,,,42.9630559,-81.19554000000002,2015
590 OXFORD ST W,0.0,168,LONDON,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,28.43433,0.0,0.0,0.0,0.0,,FIRE HALL # 06,Fire stations and associated offices and facilities,N6H 1T9,0.0,0.0,0.0,0.0,Square feet,,kWh,Cubic Meter,,,,,,,0.0,,,42.98349879999999,-81.2933117666667,2015
1295 WEBSTER ST,0.0,168,LONDON,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,34.33505,0.0,0.0,0.0,0.0,,FIRE HALL # 07,Fire stations and associated offices and facilities,N5V 3P8,0.0,0.0,0.0,0.0,Square feet,,kWh,Cubic Meter,,,,,,,0.0,,,43.023386,-81.212058,2015
1565 WESTERN RD,0.0,168,LONDON,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,31.85475,0.0,0.0,0.0,0.0,,FIRE HALL # 08,Fire stations and associated offices and facilities,N6G 1H5,0.0,0.0,0.0,0.0,Square feet,,kWh,Cubic Meter,,,,,,,0.0,,,43.020373,-81.279351,2015
746 WELLINGTON RD,0.0,168,LONDON,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,20.82612,0.0,0.0,0.0,0.0,,FIRE HALL # 09,Fire stations and associated offices and facilities,N6C 4R2,0.0,0.0,0.0,0.0,Square feet,,kWh,Cubic Meter,,,,,,,0.0,,,42.948062781145204,-81.22765730375059,2015
2125 TRAFALGAR ST,0.0,168,LONDON,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,40.3443,0.0,0.0,0.0,0.0,,FIRE HALL # 10,Fire stations and associated offices and facilities,N5V 4Z7,0.0,0.0,0.0,0.0,Square feet,,kWh,Cubic Meter,,,,,,,0.0,,,42.9829737,-81.2031709,2015
7109 WESTMINSTER DR,0.0,168,LONDON,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,31.68539,0.0,0.0,0.0,0.0,,FIRE HALL # 11,Fire stations and associated offices and facilities,N6P 1N4,0.0,0.0,0.0,0.0,Square feet,,kWh,Cubic Meter,,,,,,,0.0,,,42.8982734,-81.2387878,2015
